"price","trim","isOneOwner","mileage","year","color","fuel","soundSystem","wheelType","displacement"
2.988,"Other",FALSE,193.296,1995,"Black","Gasoline","unsp","Alloy",3.2
6.595,"Other",FALSE,129.948,1995,"Other","Gasoline","Premium","Alloy",3.2
7.993,"Other",FALSE,140.428,1997,"White","Gasoline","Bose","Alloy",3.2
5.995,"Other",FALSE,113.622,1999,"Silver","Gasoline","unsp","Alloy",4.2
3,"Other",FALSE,167.673,1999,"Silver","Gasoline","unsp","Alloy",4.2
7.4,"430",FALSE,82.419,2002,"White","Gasoline","Bose","Alloy",4.3
10.85,"430",FALSE,101.264,2000,"White","Gasoline","unsp","unsp",4.3
8.99,"430",FALSE,110.651,2001,"Black","Gasoline","unsp","Alloy",4.3
7.95,"430",FALSE,108.173,2000,"Silver","Gasoline","Bose","unsp",4.3
7.995,"430",FALSE,119.978,2000,"Black","Gasoline","unsp","Alloy",4.3
6.998,"430",FALSE,187.977,2002,"Other","Gasoline","Premium","unsp",4.3
11.997,"430",FALSE,106.093,2002,"Silver","Gasoline","Bose","unsp",4.3
2.8,"430",FALSE,59.69,2002,"Black","Gasoline","unsp","unsp",4.3
11.459,"430",FALSE,129.167,2003,"Other","Gasoline","Bose","unsp",4.3
4.995,"430",FALSE,172.807,2002,"Other","Gasoline","Premium","Alloy",4.3
10.999,"430",FALSE,76.577,2004,"Other","Gasoline","unsp","Alloy",4.3
10.765,"430",FALSE,66.453,2002,"Silver","Gasoline","unsp","Alloy",4.3
9.994,"430",FALSE,84.097,2003,"Silver","Gasoline","unsp","Alloy",4.3
9.995,"430",TRUE,97.24,2002,"Other","Gasoline","unsp","Alloy",4.3
9.339,"430",FALSE,143.997,2004,"Other","Gasoline","unsp","Alloy",4.3
8.8,"430",FALSE,125.438,2004,"Silver","Gasoline","unsp","unsp",4.3
16.95,"430",FALSE,83.507,2006,"Other","Gasoline","Premium","unsp",4.3
8.995,"430",FALSE,121.64,2001,"Other","Gasoline","unsp","Alloy",4.3
8.875,"430",FALSE,136.514,2001,"Other","Gasoline","Premium","Alloy",4.3
5.9,"430",FALSE,144.645,2001,"Silver","Gasoline","unsp","unsp",4.3
6.995,"430",FALSE,178,2002,"Silver","Gasoline","unsp","Alloy",4.3
7.99,"430",FALSE,83.77,2003,"Silver","Gasoline","Bose","Alloy",4.3
7.999,"430",TRUE,89.024,2002,"Silver","Gasoline","Premium","Alloy",4.3
6.995,"430",FALSE,141.61,2002,"Silver","Gasoline","unsp","unsp",4.3
3.499,"430",FALSE,176.699,2000,"Silver","Gasoline","unsp","Alloy",4.3
23,"430",FALSE,75.677,2006,"Black","Gasoline","unsp","unsp",4.3
6.95,"430",FALSE,126.162,2000,"White","Gasoline","Bose","Alloy",4.3
9.988,"Other",FALSE,120.087,2001,"Silver","Gasoline","Premium","Alloy",5.4
16.995,"Other",TRUE,74.002,2003,"Other","Gasoline","unsp","Alloy",5.4
9.995,"Other",FALSE,129.672,2005,"Silver","Gasoline","Premium","unsp",5.4
20.562,"Other",FALSE,85.831,2006,"Black","Gasoline","Premium","Alloy",5.4
11.9,"Other",FALSE,138.19,2003,"Black","Gasoline","Premium","Alloy",5.4
21.695,"Other",FALSE,71.048,2006,"Black","Gasoline","unsp","unsp",5.4
4.995,"500",FALSE,131.649,2002,"Black","Gasoline","unsp","unsp",5
12.999,"500",FALSE,79.858,2003,"Black","Gasoline","unsp","Alloy",5
4.995,"500",FALSE,112.865,2000,"Black","Gasoline","unsp","unsp",5
8.996,"500",FALSE,107.104,2003,"Other","Gasoline","unsp","Alloy",5
7,"500",FALSE,98.041,2001,"Black","Gasoline","unsp","Alloy",5
10.5,"500",FALSE,70.215,2001,"Black","Gasoline","Premium","Alloy",5
10.988,"500",FALSE,133.331,2002,"Other","Gasoline","unsp","Alloy",5
8.998,"500",FALSE,103.411,2003,"Black","Gasoline","Premium","Alloy",5
8.78,"500",FALSE,147.045,2004,"Black","Gasoline","unsp","unsp",5
17.481,"500",FALSE,67.955,2006,"Black","Gasoline","Bose","Alloy",5
19.999,"500",FALSE,101,2006,"Silver","Gasoline","unsp","unsp",5
11.495,"500",FALSE,70.33,2003,"Black","Gasoline","unsp","Alloy",5
8.995,"500",FALSE,66.174,2000,"Silver","Gasoline","Bose","Alloy",5
5.995,"500",FALSE,141.499,2002,"Other","Gasoline","unsp","Alloy",5
12.888,"500",FALSE,111.971,2004,"Black","Gasoline","unsp","Alloy",5
11.9,"500",FALSE,99.331,2003,"Black","Gasoline","unsp","unsp",5
7.8,"500",FALSE,99.273,2000,"Silver","Gasoline","unsp","Alloy",5
5.995,"500",FALSE,149.96,2003,"Black","Gasoline","Bose","unsp",5
9.995,"500",FALSE,113.02,2001,"Other","Gasoline","Bose","Premium",5
11.991,"500",FALSE,75.72,2002,"Black","Gasoline","unsp","unsp",5
7.995,"500",FALSE,155.229,2002,"Black","Gasoline","unsp","Alloy",5
10.5,"500",FALSE,107.333,2001,"Black","Gasoline","unsp","Alloy",5
9.992,"500",FALSE,119.356,2003,"Black","Gasoline","unsp","unsp",5
6.995,"500",FALSE,77.985,2000,"Black","Gasoline","Premium","Alloy",5
21.988,"Other",FALSE,7.009,2001,"Other","Gasoline","unsp","Alloy",5.8
6.992,"Other",FALSE,179.567,2002,"Silver","Gasoline","unsp","Alloy",5.8
14.977,"430",FALSE,90.895,2005,"White","Gasoline","unsp","unsp",4.3
15.995,"430",FALSE,69.903,2006,"Black","Gasoline","unsp","unsp",4.3
8.914,"430",FALSE,188.321,2003,"Silver","Gasoline","unsp","Alloy",4.3
12.95,"430",FALSE,107.48,2006,"Other","Gasoline","unsp","Alloy",4.3
11.96,"430",FALSE,112.732,2004,"White","Gasoline","Bose","Alloy",4.3
12.999,"430",FALSE,99.82,2005,"Silver","Gasoline","unsp","Alloy",4.3
13.991,"430",FALSE,119.621,2005,"Silver","Gasoline","unsp","Alloy",4.3
10.995,"430",FALSE,160.513,2006,"Black","Gasoline","Premium","Alloy",4.3
11.995,"430",FALSE,132.277,2004,"Black","Gasoline","unsp","unsp",4.3
11.95,"430",FALSE,71.377,2003,"Other","Gasoline","Premium","unsp",4.3
16.499,"500",FALSE,73.246,2006,"Silver","Gasoline","Premium","Alloy",5
12.995,"500",FALSE,109.108,2003,"Black","Gasoline","unsp","unsp",5
29.481,"550",FALSE,56.29,2007,"Black","Gasoline","unsp","unsp",5.5
23.492,"550",FALSE,85.201,2007,"Black","Gasoline","unsp","unsp",5.5
35.822,"550",TRUE,16.894,2007,"Black","Gasoline","Harman Kardon","Alloy",5.5
